transect,width
1,35
1,22
1,24
1,25
1,14
1,18
1,24
1,29
1,24
1,24
1,27
1,23
1,14
1,14
1,17
1,20
1,25
1,16
2,29
2,34
2,16
2,16
2,15
2,15
2,26
2,27
2,26
2,22
2,30
2,29
2,19
2,24
2,34
3,16
3,43
3,27
3,28
3,28
3,9
3,10
3,35
3,37
3,26
3,39
3,21
3,30
4,15
4,39
4,22
4,8
4,16
4,7
4,14
4,25
4,39
4,25
4,23
4,18
4,20
5,36
5,36
5,33
5,25
5,25
5,17
5,44
5,19
5,26
5,19
5,29
5,21
5,30
5,26
5,34
5,15
5,23
5,15
6,23
6,23
6,40
6,40
6,34
6,27
6,26
6,6
6,18
7,27
7,21
7,13
7,23
7,30
8,36
8,35
8,44
8,27
8,29
8,28
8,31
8,34
8,33
9,33
9,32
9,39
9,20
9,20
9,27
9,32
9,27
9,25
9,30
9,23
10,33
10,21
10,30
10,35
11,36
11,26
11,20
11,17
11,27
11,29
11,21
11,21
11,36
11,27
11,29
11,21
11,24
11,13
12,28
12,24
12,16
12,13
12,18
12,14
12,18
12,21
12,21
12,31
12,15
12,22
12,29
12,25
12,23
12,25
12,18
12,20
12,31
12,33
12,22
