Region.Label,Area,Sample.Label,Effort,distance
South,84734,1,86.75,0.1
South,84734,1,86.75,0.22
South,84734,1,86.75,0.16
South,84734,1,86.75,0.78
South,84734,1,86.75,0.21
South,84734,1,86.75,0.95
South,84734,2,10.57,0
South,84734,2,10.57,0
South,84734,2,10.57,0.1
South,84734,2,10.57,0.06
South,84734,2,10.57,0.93
South,84734,2,10.57,0.38
South,84734,3,16.57,0.39
South,84734,3,16.57,0.61
South,84734,3,16.57,0.02
South,84734,4,113.13,0.34
South,84734,4,113.13,0.52
South,84734,4,113.13,0.36
South,84734,4,113.13,1.22
South,84734,4,113.13,0.68
South,84734,4,113.13,0.03
South,84734,4,113.13,0.26
South,84734,4,113.13,1.21
South,84734,4,113.13,0.52
South,84734,5,15.07,
South,84734,6,9.9,
South,84734,7,25.71,0.18
South,84734,7,25.71,0.36
South,84734,7,25.71,0.61
South,84734,7,25.71,0.61
South,84734,8,57.55,0.6
South,84734,8,57.55,0.1
South,84734,9,7.67,
South,84734,10,13.02,
South,84734,11,52.65,
South,84734,12,0.19,
South,84734,13,75.63,0.1
South,84734,13,75.63,0.68
South,84734,13,75.63,0.31
South,84734,13,75.63,0.58
South,84734,13,75.63,0.49
South,84734,13,75.63,0.46
South,84734,13,75.63,0.36
South,84734,13,75.63,0.09
South,84734,13,75.63,0.03
North,630582,14,83.33,0.49
North,630582,14,83.33,1.94
North,630582,14,83.33,1.1
North,630582,14,83.33,0.85
North,630582,14,83.33,0.63
North,630582,14,83.33,0.39
North,630582,14,83.33,0.65
North,630582,14,83.33,1.16
North,630582,14,83.33,0.91
North,630582,14,83.33,0
North,630582,14,83.33,1.18
North,630582,15,100.93,0.1
North,630582,15,100.93,0.37
North,630582,15,100.93,0.59
North,630582,15,100.93,0.45
North,630582,15,100.93,0.53
North,630582,16,110.55,0.21
North,630582,17,97.5,
North,630582,18,126.32,0.85
North,630582,18,126.32,1.48
North,630582,18,126.32,1.44
North,630582,18,126.32,0.9
North,630582,18,126.32,0.01
North,630582,18,126.32,1.58
North,630582,18,126.32,0.68
North,630582,18,126.32,0.8
North,630582,18,126.32,0.64
North,630582,18,126.32,1.45
North,630582,18,126.32,0.31
North,630582,18,126.32,0.31
North,630582,18,126.32,0.85
North,630582,18,126.32,0.49
North,630582,18,126.32,0.67
North,630582,18,126.32,0.27
North,630582,18,126.32,0.56
North,630582,18,126.32,0.23
North,630582,19,99.37,0.39
North,630582,20,137.39,1.17
North,630582,20,137.39,0.97
North,630582,21,106.76,0.29
North,630582,21,106.76,0.59
North,630582,21,106.76,1.01
North,630582,21,106.76,0.87
North,630582,21,106.76,0.13
North,630582,21,106.76,0.78
North,630582,22,113.28,0.97
North,630582,22,113.28,0.48
North,630582,23,144.9,
North,630582,24,130.33,0.41
North,630582,24,130.33,0.15
North,630582,24,130.33,0.09
North,630582,24,130.33,0.1
North,630582,24,130.33,0.1
North,630582,25,107.72,
